"","team","season","coach_first_name","coach_last_name","coach_aux_1","coach_aux_2","grad_yr"
"687","Yale","2010-2011","Chris","Gobrecht",NA,NA,"1977"
"688","Youngstown St.","2010-2011","Bob","Boldon",NA,NA,"1997"
"689","A&M-Corpus Christi","2011-2012","Robert","Robinson",NA,NA,"1993"
"690","Air Force","2011-2012","Andrea","Williams",NA,NA,"1994"
"691","Akron","2011-2012","Jodi","Kest",NA,NA,"1984"
"692","Alabama","2011-2012","Wendell","Hudson",NA,NA,"1973"
"693","Alabama A&M","2011-2012","Altherias","Warmley",NA,NA,"1990"
"694","Alabama St.","2011-2012","Freda","Freeman-Jackson",NA,NA,"1984"
"695","Albany (NY)","2011-2012","Katie","Abrahamson-Henderson",NA,NA,"1990"
"696","Alcorn","2011-2012","Tonya","Edwards",NA,NA,"1990"
"697","American","2011-2012","Matt","Corkery",NA,NA,"1993"
"698","Appalachian St.","2011-2012","Darcie","Vincent",NA,NA,"1992"
"699","Arizona","2011-2012","Niya","Butts",NA,NA,"2000"
"700","Arizona St.","2011-2012","Joseph","Anders",NA,NA,"1980"
"701","Ark.-Pine Bluff","2011-2012","Cary","Shelton",NA,NA,"2005"
"702","Arkansas","2011-2012","Tom","Collen",NA,NA,"1990"
"703","Arkansas St.","2011-2012","Brian","Boyer",NA,NA,"1993"
"704","Army West Point","2011-2012","Dave","Magarity",NA,NA,"1974"
"705","Auburn","2011-2012","Nell","Fortner",NA,NA,"1982"
"706","Austin Peay","2011-2012","Carrie","Daniels",NA,NA,"1996"
"707","BYU","2011-2012","Jeff","Judkins",NA,NA,"1978"
"708","Ball St.","2011-2012","Kelly","Packard",NA,NA,"1990"
"709","Baylor","2011-2012","Kim","Mulkey",NA,NA,"1984"
"710","Belmont","2011-2012","Brittney","Ezell",NA,NA,"1999"
"711","Bethune-Cookman","2011-2012","Vanessa","Blair-Lewis",NA,NA,"1992"
"712","Binghamton","2011-2012","Nicole","Scholl",NA,NA,"1994"
"713","Boise St.","2011-2012","Gordy","Presnell",NA,NA,"1983"
"714","Boston College","2011-2012","Sylvia","Crawley",NA,NA,"1994"
"715","Boston U.","2011-2012","Kelly","Greenberg",NA,NA,"1989"
"716","Bowling Green","2011-2012","Curt","Miller",NA,NA,"1990"
"717","Bradley","2011-2012","Paula","Buscher",NA,NA,"1986"
"718","Brown","2011-2012","Jean","Marie","Burr",NA,"1977"
"719","Bryant","2011-2012","Mary","Burke",NA,NA,"1987"
"720","Bucknell","2011-2012","Kathaleen","Fedorjaka",NA,NA,"1990"
"721","Buffalo","2011-2012","Linda","Hill-MacDonald",NA,NA,"1970"
"722","Butler","2011-2012","Beth","Couture",NA,NA,"1984"
"723","CSU Bakersfield","2011-2012","Greg","McCall",NA,NA,"1991"
"724","CSUN","2011-2012","Jason","Flowers",NA,NA,"2003"
"725","Cal Poly","2011-2012","Faith","Mimnaugh",NA,NA,"1985"
"726","Cal St. Fullerton","2011-2012","Marcia","Foster",NA,NA,"1984"
"727","California","2011-2012","Lindsay","Gottlieb",NA,NA,"1999"
"728","Campbell","2011-2012","Wanda","Watkins",NA,NA,"1979"
"729","Canisius","2011-2012","Terry","Zeh",NA,NA,"1990"
"730","Central Ark.","2011-2012","Matt","Daniel",NA,NA,"1998"
